Country,By,Variety,Year,Yield,Starch content,Starch yield
Thailand,Rayong,Rayong 1,1975,20.1,18.3,3.7
Thailand,Rayong,Rayong 3,1983,17.1,25.5,4.4
Thailand,Rayong,Rayong 2,1984,25.6,18.3,4.7
Thailand,Rayong,Rayong 60,1987,26.3,22.5,5.9
Thailand,Rayong,Rayong 90,1991,23.8,26.5,6.3
Thailand,Rayong,Rayong 5,1994,27.5,25,6.9
Thailand,Rayong,Rayong 72,1999,31.9,22,7.0
Thailand,Rayong,Rayong 7,2005,38.1,26,9.9
Thailand,Rayong,Rayong 9,2006,30.6,27.5,8.4
Thailand,Rayong,Rayong 11,2010,29.8,29,8.6
Thailand,Rayong,Rayong 86,2013,28.2,29.5,8.3
Thailand,KU,Sriracha 1,1990,20.1,21.9,4.4
Thailand,KU,KU 50,1992,32.5,24.9,8.1
Thailand,KU,KU 72,2015,31.3,27,8.5
Thailand,KU/TTDI,HB 60,2003,36.3,25.1,9.1
Thailand,KU/TTDI,HB 80,2008,34.4,27.3,9.4
Thailand,KU/TTDI,HB 90,2017,31.8,25.7,8.2
Thailand,NSTDA/MU,Pirun 1,2014,41.3,28.7,11.9
Thailand,NSTDA/MU,Pirun 2,2015,36.3,24.7,9.0
Vietnam,Rayong,KM 60,1995,29.5,27.1,8.0
Vietnam,KU,KM 94,1995,35,,
Vietnam,Thailand,SM397-26,1995,34,,
Vietnam,HLARC,KM98-1,1999,33.5,27.8,9.3
Vietnam,HLARC,KM98-5,2007,34.5,27.3,9.4
Vietnam,HLARC,KM140,2007,40,,
Vietnam,,KM98-7,2008,,,
Vietnam,,Sa21-12,2012,39,29,11.3
Vietnam,Rayong,Sa06,2016,39,30,11.7
Vietnam,,KM419,2016,40,,
Vietnam,HLARC,HLS11,2016,41,30,12.3
Vietnam,,BK,2016,49.5,27,13.4
Vietnam,HLARC,HLS10,2016,45.2,27.2,12.3
Vietnam,,KM444,2016,35.5,30.1,10.7
Vietnam,Rayong,DT4 (Rayong 72),2016,41.6,30,12.5
Vietnam,,KM7,2016,40,,
Vietnam,,STB1 (KM440),2017,37.5,29,10.9
Vietnam,Colombia,KM101,2017,39.5,28,11.1
Vietnam,,10Sa01,2017,40,30,12.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
